Rank,Portuguese,English
1,que,what
2,o,O
3,a,The
4,não,not
5,de,in
6,é,It's
7,e,and
8,um,a
9,eu,me
10,para,for
11,se,whether
12,me,me
13,uma,one
14,está,it is
15,com,with
16,por,per
17,do,of
18,te,you
19,os,you
20,em,in
21,ele,he
22,bem,well
23,isso,that
24,mas,but
25,como,like
26,da,gives
27,você,you
28,sim,Yes
29,no,at the
30,as,at
31,mais,more
32,meu,mine
33,aqui,here
34,na,at
35,muito,very
36,vamos,let's go
37,foi,was
38,estou,I am
39,ela,she
40,vai,go
41,fazer,to do
42,tem,have
43,isto,this
44,já,already
45,minha,mine
46,tudo,all
47,só,only
48,nos,US
49,ser,to be
50,ao,to the
51,tenho,have
52,agora,now
53,tu,you
54,vou,I'm going
55,à,The
56,sei,know
57,quando,When
58,lá,there
59,há,there is
60,porque,why
61,onde,Where
62,nada,nothing
63,seu,your
64,estás,these
65,quem,who
66,então,then
67,era,was
68,sua,your
69,ou,or
70,lhe,you
71,quero,I want
72,sou,I'm
73,nós,we
74,coisa,thing
75,são,are
76,ter,to have
77,dizer,tell
78,eles,they
79,pode,he can
80,esta,it is
81,bom,Good
82,mesmo,same
83,todos,all
84,mim,me
85,dos,From
86,estava,was
87,posso,I can
88,este,This one
89,ver,to see
90,nunca,Never
91,assim,so
92,estão,they are
93,casa,home
94,lo,lo
95,até,until
96,disse,said
97,quer,would you like
98,temos,we have
99,tempo,time
100,acho,I think
101,ir,go
102,favor,favor
103,obrigado,thanks
104,também,also
105,tens,have
106,deus,God
107,quê,what
108,ainda,still
109,vez,turn
110,noite,night
111,pai,father
112,tão,So
113,teu,your
114,falar,to speak
115,tua,your
116,melhor,best
117,dia,day
118,sobre,about
119,certo,right
120,sempre,ever
121,sabe,You know
122,és,you are
123,depois,later
124,vida,life
125,mãe,mom
126,oh,oh
127,nem,nor
128,senhor,Mr
129,estamos,we are
130,anos,years old
131,olá,Hello
132,talvez,maybe
133,sr,sir
134,homem,men
135,sem,without
136,sabes,you know
137,alguém,somebody
138,das,of
139,boa,Good
140,algo,something
141,ti,you
142,alguma,some
143,vocês,you guys
144,coisas,things
145,tinha,he had
146,dois,two
147,dele,his
148,claro,clear
149,vais,you'll
150,estar,be
151,ficar,stay
152,aí,Ouch
153,pelo,fur
154,pessoas,people
155,queres,want
156,essa,That
157,esse,that
158,verdade,truth
159,faz,he does
160,parece,looks
161,grande,great
162,antes,before
163,dinheiro,money
164,ninguém,nobody
165,apenas,only
166,pouco,little bit
167,preciso,need
168,la,there
169,comigo,with me
170,outra,other
171,trabalho,job
172,merda,Shit
173,tipo,type
174,vão,they go
175,fora,outside
176,vá,go
177,espera,wait
178,qualquer,any
179,hoje,today
180,qual,which
181,todo,all
182,olha,look
183,pela,through the
184,podes,you can
185,saber,know
186,toda,all
187,deve,he must
188,daqui,from here
189,podemos,we can
190,filho,son
191,mulher,women
192,mundo,world
193,ok,OK
194,disso,of this
195,meus,my
196,seus,your
197,nome,Name
198,dar,to give
199,cá,here
200,seja,it is
201,outro,other
202,nosso,our
203,pois,because
204,diz,it says
205,num,on one
206,nossa,Wow
207,quanto,how much
208,ei,Hey
209,sair,go out
210,queria,I wanted
211,vem,comes
212,volta,return
213,amigo,friend
214,novo,new
215,embora,although
216,lugar,place
217,será,it will be
218,certeza,assurance
219,três,three
220,sério,Really
221,mal,bad
222,têm,have
223,desculpa,excuse
224,carro,car
225,às,at
226,problema,problem
227,menos,any less
228,passa,he passes
229,vezes,times
230,nas,in the
231,ali,there
232,dela,her
233,dentro,inside
234,aconteceu,it happened
235,querida,Honey
236,primeiro,first
237,amor,love
238,pensar,think
239,todas,all
240,cara,face
241,lado,side
242,fez,he did
243,contigo,with you
244,aos,to the
245,parte,part
246,consigo,I can
247,anda,walk
248,algum,some
249,numa,in
250,aquele,that one
251,hora,hour
252,voltar,return
253,homens,men
254,dias,days
255,gente,people
256,tentar,try
257,gosto,taste
258,porquê,why
259,vi,saw
260,tarde,afternoon
261,pensei,I thought
262,entre,in between
263,suas,your
264,los,them
265,duas,two
266,obrigada,Thanks
267,desculpe,excuse me
268,sabia,you knew
269,fui,I went
270,podem,they can
271,atrás,back
272,uns,Some
273,cabeça,head
274,fica,he is
275,somos,are
276,pra,for
277,frente,front
278,cidade,City
279,amanhã,tomorrow
280,cima,top
281,momento,time
282,razão,reason
283,nenhum,none
284,família,family
285,amigos,friends
286,desde,since
287,vos,you
288,tal,such
289,horas,hour
290,sinto,I feel
291,acha,he thinks
292,achas,think
293,polícia,police
294,outros,others
295,foram,were
296,tenha,you have
297,seria,would be
298,medo,fear
299,tanto,so much
300,pronto,ready
301,precisa,need
302,entrar,log in
303,nova,new
304,deles,from them
305,si,si
306,forma,form
307,aquilo,that one
308,passar,pass
309,chegar,to arrive
310,quase,almost
311,história,story
312,deixar,leave
313,porta,door
314,cuidado,Caution
315,cada,each
316,ia,ia
317,podia,could
318,ah,ah
319,fiz,made
320,pessoa,people
321,lhes,them
322,realmente,really
323,ideia,idea
324,fosse,be
325,irmão,brother
326,morrer,die
327,devia,should
328,alguns,some
329,morto,dead
330,minhas,my
331,adeus,bye
332,feliz,happy
333,minutos,minute
334,primeira,first
335,ajudar,help
336,caso,case
337,contra,against
338,sorte,luck
339,aquela,that one
340,ano,year
341,encontrar,meet
342,vir,come over
343,caminho,path
344,rapaz,boy
345,ouvir,listen
346,enquanto,While
347,näo,not
348,maneira,manner
349,olhos,eyes
350,estes,these
351,espero,I expect
352,sido,solid
353,poderia,it could
354,semana,week
355,desta,of this
356,trabalhar,work
357,água,Water
358,matar,kill
359,durante,during
360,quarto,bedroom
361,conta,account
362,senhora,Mrs
363,morte,death
364,tive,had
365,neste,in this
366,terra,Earth
367,logo,soon
368,ajuda,help
369,guerra,war
370,estas,these
371,dá,from the
372,rápido,fast
373,feito,done
374,pára,for
375,querido,Dear
376,levar,take along
377,óptimo,optimal
378,mãos,hands
379,jogo,game
380,manhã,morning
381,arma,weapon
382,querem,want
383,fala,speaks
384,perto,near
385,for,for
386,nossos,ours
387,importante,important
388,algumas,some
389,faço,I do
390,poder,power
391,cinco,five
392,pessoal,guys
393,calma,calm
394,teus,your
395,precisamos,we need
396,rapazes,boys
397,á,The
398,juntos,together
399,acontecer,happen
400,comer,eat
401,filha,daughter
402,fim,end
403,faça,Knife
404,acredito,I believe
405,diga,say
406,baixo,short
407,venha,come
408,causa,cause
409,sra,misrule
410,espere,wait
411,escola,school
412,meio,quite
413,maior,larger
414,umas,a
415,vê,see
416,mão,hand
417,problemas,problems
418,vejo,I see
419,nisso,in that
420,mesma,same
421,começar,to start
422,chefe,boss
423,dormir,to sleep
424,velho,old
425,havia,there was
426,acabou,ended
427,disto,of this
428,dr,drill
429,mulheres,women
430,idiota,moron
431,única,only
432,última,last
433,sabem,know
434,nenhuma,none
435,viu,saw
436,dólares,dollars
437,difícil,difficult
438,quatro,four
439,coração,heart
440,número,number
441,deste,of this
442,lamento,am sorry
443,viver,to live
444,prazer,pleasure
445,sai,leaves
446,crianças,kids
447,olhe,look
448,ouve,hear
449,segundo,second
450,chega,he arrives
451,eram,they were
452,fazendo,making
453,andar,walk
454,capitão,captain
455,muitas,many
456,ouvi,I heard
457,muitos,Many
458,elas,they
459,sangue,blood
460,estado,state
461,importa,it matters
462,corpo,body
463,teve,he had
464,penso,think
465,parar,to stop
466,gostaria,would
467,mil,thousand
468,usar,use
469,ontem,yesterday
470,rapariga,girl
471,significa,means
472,festa,party
473,deixa,he leaves
474,pequeno,small
475,devo,owe
476,mau,bad
477,força,force
478,longe,far
479,filhos,sons
480,depressa,quickly
481,morreu,died
482,marido,husband
483,olhar,look
484,presidente,president
485,tomar,to take
486,essas,these
487,nesta,in this
488,demais,too much
489,meses,months
490,gosta,he likes
491,esses,Those
492,muita,lots of
493,pena,feather
494,pensa,think
495,jack,jack
496,perder,lose
497,veio,he came
498,trás,back
499,esperar,wait
500,contar,tell
501,john,John
502,buscar,search
503,paz,peace
504,procura,demand
505,porra,fuck
506,telefone,telephone
507,irmã,sister
508,disseste,he said
509,raio,lightning
510,teria,it would have
511,pais,country
512,altura,height
513,digo,say
514,menina,girl
515,estavam,They were
516,errado,wrong
517,tivesse,had
518,fazes,faz
519,vindo,coming
520,filme,movie
521,fácil,easy
522,acordo,agreement
523,nao,not
524,pergunta,question
525,possível,possible
526,vivo,alive
527,cama,bed
528,dizem,say
529,acabar,to finish
530,suficiente,enough
531,fizeste,made
532,estranho,weird
533,sabemos,we know
534,segurança,safety
535,puta,bitch
536,brincar,play
537,licença,license
538,além,in addition
539,conseguir,get
540,livro,book
541,tirar,to throw
542,país,parents
543,jantar,to have lunch
544,palavra,word
545,seis,six
546,conheço,I know
547,deu,it gave
548,nossas,our
549,passado,past
550,fique,stay
551,boca,mouth
552,outras,others
553,comida,food
554,falta,lack
555,armas,weapons
556,ficou,it was left
557,fazem,do
558,bastante,quite
559,sozinho,by myself
560,deveria,should
561,ai,there
562,minuto,minute
563,pelos,by the
564,luz,light
565,ar,air
566,tuas,your
567,música,song
568,pagar,pay
569,fogo,fire
570,próprio,own
571,atenção,attention
572,jesus,Jesus
573,chegou,it arrived
574,quiser,he wants
575,forte,strong
576,existe,exist
577,possa,be likely to
578,pedir,ask
579,sentir,to sense
580,acreditar,believe
581,partir,leave
582,continua,to be continued
583,mudar,change
584,toma,take
585,rei,King
586,direito,right
587,jovem,young
588,único,single
589,café,coffee
590,diferente,different
591,vossa,your
592,culpa,fault
593,plano,flat
594,rua,road
595,foste,were
596,milhões,millions
597,consegue,it achieves
598,pé,foot
599,correr,run
600,próxima,next
601,devias,devil
602,equipa,team
603,pequena,little
604,linda,beautiful
605,pare,Stop
606,sequer,even
607,jogar,to play
608,fico,I am
609,provavelmente,most likely
610,exactamente,exactly
611,passou,passed on
612,casamento,marriage
613,deixe,leave
614,aqueles,those ones
615,especial,Special
616,ganhar,to win
617,sala,living room
618,grandes,big ones
619,semanas,weeks
620,resto,rest
621,houve,there was
622,pior,worst
623,esteja,is
624,esposa,wife
625,natal,Christmas
626,mr,mr
627,continuar,Continue
628,quis,wanted
629,veja,Look
630,dez,ten
631,bonito,beautiful
632,precisas,accurate
633,ponto,Score
634,cão,dog
635,visto,visa
636,médico,doctor
637,estavas,you were
638,estive,I have been
639,criança,kid
640,vim,I came
641,louco,Crazy
642,raios,rays
643,queremos,we want
644,amo,master
645,devem,must
646,beber,drink
647,agente,agent
648,seguir,follow
649,negócio,business
650,alto,high
651,irá,will
652,gostava,liked
653,las,las
654,último,last
655,final,Final
656,modo,mode
657,oi,Hey
658,demasiado,too
659,haver,be
660,sentido,sense
661,bonita,beautiful
662,chamar,Call
663,acontece,it happens
664,senhores,Sirs
665,lindo,pretty
666,boas,good
667,comprar,purchase
668,matou,kill
669,sol,Sun
670,devemos,we must
671,vosso,your
672,entra,goes into
673,vês,vise
674,falando,talking
675,consegues,get
676,cedo,early
677,chama,flame
678,tom,tone
679,entendo,I understand
680,frank,frank
681,viste,vist
682,esteve,was
683,livre,free
684,hospital,hospital
685,michael,Michael
686,prisão,prison
687,viagem,trip
688,doutor,doctor
689,palavras,words
690,querer,want
691,sistema,system
692,tio,uncle
693,oportunidade,opportunity
694,campo,field
695,banho,bath
696,novamente,again
697,seguro,safe
698,pôr,per
699,próximo,next
700,conhece,you know
701,preocupes,worries
702,vontade,will
703,general,general
704,sexo,sex
705,sob,under
706,mortos,dead
707,barco,boat
708,adoro,adore
709,respeito,respect
710,grupo,group
711,professor,teacher
712,descobrir,discover
713,cabelo,hair
714,chão,floor
715,fazemos,We do
716,certa,certain
717,ligar,turn on
718,manter,to maintain
719,perfeito,Perfect
720,miúdo,kid
721,terá,will have
722,capaz,able
723,portanto,therefore
724,situação,situation
725,arranjar,get
726,avião,plane
727,começou,it started
728,simples,simple
729,finalmente,finally
730,ordem,order
731,futuro,future
732,própria,own
733,dessa,of that
734,bebé,baby
735,george,george
736,connosco,with us
737,linha,line
738,deves,must
739,real,real
740,sítio,place
741,encontro,meeting
742,vista,View
743,saia,get out
744,charlie,Charlie
745,questão,question
746,gostas,like
747,precisar,to need
748,achei,I found
749,david,David
750,sinal,signal
751,desse,of that
752,deixou,he left
753,aonde,to where
754,emprego,job
755,completamente,completely
756,sam,sam
757,dê,in
758,local,local
759,vale,OK
760,droga,damn it
761,perguntar,to ask
762,creio,believe
763,idade,age
764,pelas,by
765,the,The
766,nisto,on this
767,estávamos,we were
768,bocado,bit
769,casar,to marry
770,nessa,in that
771,lutar,fight
772,hey,hey
773,carta,Letter
774,apanhar,to take
775,leva,takes
776,peço,I ask
777,pensas,think
778,jeito,way
779,fundo,background
780,tinham,had
781,céu,sky
782,mesa,table
783,assunto,Subject
784,fome,hungry
785,exército,army
786,ler,to read
787,roupa,clothing
788,perguntas,questions
789,nesse,in that
790,sonho,dream
791,gajo,dude
792,amiga,friend
793,notícias,News
794,miúda,miúde
795,quiseres,want
796,interessa,interest
797,doente,sick
798,governo,government
799,papá,papa
800,conhecer,to meet
801,estúpido,Stupid
802,estiver,you are
803,melhores,best
804,i,I
805,bons,Good
806,daí,so
807,faria,would make
808,mostrar,Show
809,joe,joe
810,pegar,to take
